# BUSCO version is: 5.8.0 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2024-01-08, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at3193	Complete	contig_16225	590807	461358	-	3992.6	3533	https://v10-1.orthodb.org/?query=2at3193	Midasin AAA lid domain 5
5at3193	Missing
23at3193	Complete	contig_22061	895647	805176	-	4738.3	3520	https://v10-1.orthodb.org/?query=23at3193	Zinc finger, ZZ-type
79at3193	Missing
241at3193	Complete	contig_17	116765	287578	+	2919.4	2044	https://v10-1.orthodb.org/?query=241at3193	Translational activator Gcn1
255at3193	Complete	contig_5647	1327837	1097376	-	3579.6	2054	https://v10-1.orthodb.org/?query=255at3193	FKBP12-rapamycin binding domain
364at3193	Missing
438at3193	Complete	contig_5647	3462368	3565212	+	3359.4	1943	https://v10-1.orthodb.org/?query=438at3193	DnaJ domain
453at3193	Complete	contig_20	709028	703372	-	1812.4	1544	https://v10-1.orthodb.org/?query=453at3193	Armadillo-type fold
469at3193	Complete	contig_17711	102530	293472	+	1895.6	1554	https://v10-1.orthodb.org/?query=469at3193	Zinc finger FYVE domain protein
727at3193	Complete	contig_4645	1627393	1515651	-	2181.1	1279	https://v10-1.orthodb.org/?query=727at3193	Dicer dimerisation domain
827at3193	Complete	contig_3999	1912892	2109096	+	1546.2	1525	https://v10-1.orthodb.org/?query=827at3193	Protein virilizer
840at3193	Complete	contig_4172	964265	848922	-	2487.9	1503	https://v10-1.orthodb.org/?query=840at3193	DNA polymerase A
938at3193	Complete	contig_8441	192037	76482	-	1774.8	1313	https://v10-1.orthodb.org/?query=938at3193	Tetratricopeptide repeat-containing domain
1073at3193	Missing
1171at3193	Complete	contig_16111	374726	583845	+	1959.1	1528	https://v10-1.orthodb.org/?query=1171at3193	Nucleoporin Nup186/Nup192/Nup205
1259at3193	Missing
1332at3193	Complete	contig_5875	2253020	2177916	-	1736.4	1176	https://v10-1.orthodb.org/?query=1332at3193	UDP-glucose:Glycoprotein Glucosyltransferase
1388at3193	Complete	contig_19103	3531897	3592192	+	1408.7	1393	https://v10-1.orthodb.org/?query=1388at3193	Zinc finger, RING-type
1440at3193	Complete	contig_13298	1751195	1782712	+	2228.3	1127	https://v10-1.orthodb.org/?query=1440at3193	DNA2/NAM7 helicase, AAA domain
1521at3193	Missing
1578at3193	Complete	contig_5432	2901097	2905914	+	1725.1	1312	https://v10-1.orthodb.org/?query=1578at3193	Mon2, C-terminal
1589at3193	Missing
1664at3193	Missing
1816at3193	Missing
1822at3193	Complete	contig_9744	1602738	1539698	-	878.0	862	https://v10-1.orthodb.org/?query=1822at3193	SET domain
1914at3193	Complete	contig_8451	196514	281717	+	1298.5	859	https://v10-1.orthodb.org/?query=1914at3193	ATPase, AAA-type, conserved site
1916at3193	Complete	contig_9918	394442	202868	-	1727.6	1120	https://v10-1.orthodb.org/?query=1916at3193	DNA polymerase
1998at3193	Complete	contig_21388	348391	268466	-	1030.6	1115	https://v10-1.orthodb.org/?query=1998at3193	Nuclear pore complex protein NUP160
2028at3193	Complete	contig_8655	1067257	874250	-	1571.5	1079	https://v10-1.orthodb.org/?query=2028at3193	Nck-associated protein 1
2050at3193	Complete	contig_3389	4436949	4485824	+	1128.8	1186	https://v10-1.orthodb.org/?query=2050at3193	Autophagy-related, C-terminal
2203at3193	Missing
2325at3193	Missing
2329at3193	Missing
2653at3193	Complete	contig_26	958354	883708	-	1633.6	1039	https://v10-1.orthodb.org/?query=2653at3193	WD40-repeat-containing domain
2661at3193	Duplicated	contig_21810	177591	168958	-	676.8	1085	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2661at3193	Duplicated	contig_11500	1985523	2079840	+	720.2	1055	https://v10-1.orthodb.org/?query=2661at3193	ABC transporter type 1, transmembrane domain
2694at3193	Complete	contig_22377	438537	159973	-	1559.6	1087	https://v10-1.orthodb.org/?query=2694at3193	Cytoplasmic FMR1-interacting
2770at3193	Complete	contig_20950	162373	131261	-	1159.6	1019	https://v10-1.orthodb.org/?query=2770at3193	Nucleoporin, Nup133/Nup155-like, C-terminal
2834at3193	Complete	contig_15703	683751	746082	+	1924.5	1501	https://v10-1.orthodb.org/?query=2834at3193	DNA2/NAM7 helicase, AAA domain
2844at3193	Complete	contig_10063	2588723	2523272	-	1535.6	978	https://v10-1.orthodb.org/?query=2844at3193	Cleavage/polyadenylation specificity factor, A subunit, C-terminal
2884at3193	Fragmented	contig_5084	269355	244889	-	1061.6	681	https://v10-1.orthodb.org/?query=2884at3193	Tetratricopeptide repeat
2921at3193	Missing
2926at3193	Complete	contig_8451	571045	367119	-	1446.2	1042	https://v10-1.orthodb.org/?query=2926at3193	TRAPP II complex, TRAPPC10
3052at3193	Complete	contig_17	403250	676178	+	1337.7	910	https://v10-1.orthodb.org/?query=3052at3193	SNF2-related, N-terminal domain
3082at3193	Complete	contig_3817	1935672	2038442	+	1072.1	899	https://v10-1.orthodb.org/?query=3082at3193	Tetratricopeptide-like helical
3272at3193	Missing
3288at3193	Complete	contig_5688	77161	13112	-	1180.5	775	https://v10-1.orthodb.org/?query=3288at3193	DNA2/NAM7 helicase, AAA domain
3322at3193	Complete	contig_18623	1381182	1423418	+	1645.8	1178	https://v10-1.orthodb.org/?query=3322at3193	Sister chromatid cohesion protein
3441at3193	Complete	contig_11808	2922592	2926394	+	1941.8	1112	https://v10-1.orthodb.org/?query=3441at3193	Hydantoinase A/oxoprolinase
3493at3193	Complete	contig_5775	319349	247406	-	1971.4	1528	https://v10-1.orthodb.org/?query=3493at3193	S1 domain
3595at3193	Complete	contig_18568	912629	908352	-	1246.0	1067	https://v10-1.orthodb.org/?query=3595at3193	Leucine-rich repeat
3662at3193	Complete	contig_9518	708497	663158	-	1221.0	1022	https://v10-1.orthodb.org/?query=3662at3193	Elongator complex protein 1
3704at3193	Missing
3755at3193	Complete	contig_13298	610022	490937	-	1411.1	920	https://v10-1.orthodb.org/?query=3755at3193	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
3935at3193	Complete	contig_5084	1037818	989806	-	1726.2	1011	https://v10-1.orthodb.org/?query=3935at3193	P-type ATPase
3941at3193	Complete	contig_3817	3038367	2888136	-	1109.5	961	https://v10-1.orthodb.org/?query=3941at3193	TRAPP II complex, Trs120
3942at3193	Complete	contig_5775	103085	212593	+	1423.6	1092	https://v10-1.orthodb.org/?query=3942at3193	Cleavage/polyadenylation specificity factor, A subunit, C-terminal
3971at3193	Complete	contig_10059	443115	320630	-	1264.7	914	https://v10-1.orthodb.org/?query=3971at3193	Transcription initiation factor TFIID subunit 2
4051at3193	Complete	contig_13298	2199483	2284097	+	1402.2	829	https://v10-1.orthodb.org/?query=4051at3193	Glycoside hydrolase, family 2
4115at3193	Complete	contig_4475	690728	780547	+	1444.3	907	https://v10-1.orthodb.org/?query=4115at3193	Quinoprotein amine dehydrogenase, beta chain-like RIC1-like guanyl-nucleotide exchange factor
4251at3193	Complete	contig_6384	413101	396027	-	1595.9	1065	https://v10-1.orthodb.org/?query=4251at3193	Sec7 domain
4343at3193	Complete	contig_21842	48783	69302	+	1379.6	997	https://v10-1.orthodb.org/?query=4343at3193	Tubulin-folding cofactor D
4349at3193	Complete	contig_19045	424321	428005	+	1615.6	919	https://v10-1.orthodb.org/?query=4349at3193	Peptidase M16, C-terminal
4482at3193	Complete	contig_18	269636	442868	+	1452.7	1165	https://v10-1.orthodb.org/?query=4482at3193	WD40-repeat-containing domain
4483at3193	Complete	contig_4429	116951	111466	-	1796.8	952	https://v10-1.orthodb.org/?query=4483at3193	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain
4547at3193	Complete	contig_9518	850779	769246	-	1178.5	1643	https://v10-1.orthodb.org/?query=4547at3193	Putative zinc-finger domain
4582at3193	Complete	contig_20506	174876	72046	-	1327.1	835	https://v10-1.orthodb.org/?query=4582at3193	SH3 domain
4678at3193	Complete	contig_5873	857239	749865	-	1489.6	980	https://v10-1.orthodb.org/?query=4678at3193	WD40 repeat
4777at3193	Missing
4892at3193	Complete	contig_4202	1143635	945732	-	1184.4	864	https://v10-1.orthodb.org/?query=4892at3193	HECT domain
5135at3193	Missing
5232at3193	Complete	contig_13298	2036912	2087924	+	1658.1	999	https://v10-1.orthodb.org/?query=5232at3193	SNF2-related, N-terminal domain
5261at3193	Missing
5306at3193	Complete	contig_3812	1464171	1409763	-	919.2	828	https://v10-1.orthodb.org/?query=5306at3193	Tetratricopeptide repeat
5602at3193	Complete	contig_5311	2454647	2349994	-	998.5	969	https://v10-1.orthodb.org/?query=5602at3193	Armadillo-type fold
5603at3193	Complete	contig_5692	667793	683422	+	1360.5	839	https://v10-1.orthodb.org/?query=5603at3193	SNF2-related, N-terminal domain
5727at3193	Missing
5761at3193	Complete	contig_25874	141727	122341	-	1023.6	834	https://v10-1.orthodb.org/?query=5761at3193	Nrap protein domain 1
5793at3193	Missing
5796at3193	Fragmented	contig_14049	1133282	1054517	-	1186.9	700	https://v10-1.orthodb.org/?query=5796at3193	MIF4G-like domain superfamily
5849at3193	Complete	contig_7186	343663	109034	-	1153.2	955	https://v10-1.orthodb.org/?query=5849at3193	Armadillo-type fold
5868at3193	Complete	contig_5432	1886652	1882284	-	970.7	898	https://v10-1.orthodb.org/?query=5868at3193	RNA polymerase II-associated protein 1, C-terminal
5921at3193	Complete	contig_6034	598050	342621	-	1452.5	835	https://v10-1.orthodb.org/?query=5921at3193	DNA mismatch repair protein MutS, C-terminal
6095at3193	Complete	contig_3811	1066712	1154490	+	665.6	658	https://v10-1.orthodb.org/?query=6095at3193	Gamma-tubulin complex component
6114at3193	Missing
6319at3193	Missing
6412at3193	Complete	contig_4857	83793	169018	+	1525.5	1031	https://v10-1.orthodb.org/?query=6412at3193	DNA mismatch repair protein MutS, core
6430at3193	Complete	contig_10063	747409	737263	-	945.1	725	https://v10-1.orthodb.org/?query=6430at3193	Timeless protein
6485at3193	Missing
6707at3193	Complete	contig_22121	131680	184767	+	1055.5	763	https://v10-1.orthodb.org/?query=6707at3193	Ankyrin repeat-containing domain
6756at3193	Missing
7170at3193	Complete	contig_22235	2144160	2047440	-	1420.6	839	https://v10-1.orthodb.org/?query=7170at3193	Tetratricopeptide repeat
7277at3193	Complete	contig_9427	1710926	1773847	+	1148.9	708	https://v10-1.orthodb.org/?query=7277at3193	Zinc finger, CCHC-type
7476at3193	Complete	contig_8208	1686543	1428327	-	1196.4	972	https://v10-1.orthodb.org/?query=7476at3193	Exportin-1, C-terminal
7510at3193	Complete	contig_3811	2364492	2459283	+	1163.8	777	https://v10-1.orthodb.org/?query=7510at3193	Nuclear pore protein 84/107
7511at3193	Missing
7542at3193	Complete	contig_5462	4751319	4703169	-	1378.8	989	https://v10-1.orthodb.org/?query=7542at3193	Protein kinase domain
7552at3193	Complete	contig_5647	1673887	1714073	+	1646.3	850	https://v10-1.orthodb.org/?query=7552at3193	Translation elongation factor EFG/EF2, domain IV
7852at3193	Complete	contig_20950	227723	230507	+	1122.1	718	https://v10-1.orthodb.org/?query=7852at3193	WD40/YVTN repeat-like-containing domain superfamily
7936at3193	Complete	contig_17968	203585	171193	-	1154.2	828	https://v10-1.orthodb.org/?query=7936at3193	Armadillo-type fold
7942at3193	Missing
7975at3193	Complete	contig_5432	1035670	1032795	-	1249.9	861	https://v10-1.orthodb.org/?query=7975at3193	Exportin-1/Importin-beta-like
8030at3193	Missing
8229at3193	Complete	contig_8714	551009	402157	-	1077.5	797	https://v10-1.orthodb.org/?query=8229at3193	Peroxisome biogenesis factor 1
8339at3193	Complete	contig_20933	1151411	1178416	+	609.8	627	https://v10-1.orthodb.org/?query=8339at3193	Aminoacyl-tRNA synthetase, class Ia
8341at3193	Missing
8477at3193	Missing
8566at3193	Missing
8731at3193	Fragmented	contig_9066	34103	20510	-	522.3	490	https://v10-1.orthodb.org/?query=8731at3193	Zinc finger, RING-type
8828at3193	Complete	contig_5432	1547461	1309524	-	1292.8	816	https://v10-1.orthodb.org/?query=8828at3193	Cation-transporting P-type ATPase, C-terminal
8939at3193	Complete	contig_6321	3309371	3256314	-	1281.8	847	https://v10-1.orthodb.org/?query=8939at3193	GHMP kinase, C-terminal domain
8953at3193	Complete	contig_5589	1911778	1751729	-	808.8	506	https://v10-1.orthodb.org/?query=8953at3193	XPG/Rad2 endonuclease
9250at3193	Complete	contig_10063	808038	776360	-	897.5	731	https://v10-1.orthodb.org/?query=9250at3193	Gamma-tubulin complex component
9385at3193	Complete	contig_12	4449310	4714107	+	1057.2	922	https://v10-1.orthodb.org/?query=9385at3193	Rad50/SbcC-type AAA domain
9443at3193	Complete	contig_3377	3522970	3582710	+	1669.0	1042	https://v10-1.orthodb.org/?query=9443at3193	TATA-binding protein interacting (TIP20)
9466at3193	Missing
9508at3193	Complete	contig_5462	5451823	5501751	+	1203.5	849	https://v10-1.orthodb.org/?query=9508at3193	Condensin complex subunit 1, C-terminal
9727at3193	Complete	contig_13298	3603554	3668121	+	1243.5	857	https://v10-1.orthodb.org/?query=9727at3193	Structural maintenance of chromosomes protein 5
9734at3193	Complete	contig_5864	2095375	2060669	-	523.6	591	https://v10-1.orthodb.org/?query=9734at3193	MMS19, C-terminal
9962at3193	Complete	contig_7918	764888	777377	+	1312.0	761	https://v10-1.orthodb.org/?query=9962at3193	Helicase, C-terminal
10289at3193	Fragmented	contig_10063	1413217	1382658	-	857.3	611	https://v10-1.orthodb.org/?query=10289at3193	DNA mismatch repair protein MutS, core
10307at3193	Complete	contig_25678	785919	756539	-	1001.2	716	https://v10-1.orthodb.org/?query=10307at3193	tRNA wybutosine-synthesizing protein
10341at3193	Complete	contig_25678	551931	570006	+	873.1	763	https://v10-1.orthodb.org/?query=10341at3193	Abnormal spindle-like microcephaly-associated protein
10362at3193	Complete	contig_18623	2404030	2406607	+	1047.9	693	https://v10-1.orthodb.org/?query=10362at3193	Pentatricopeptide repeat
10429at3193	Missing
10454at3193	Complete	contig_3811	1401829	1398822	-	1302.3	815	https://v10-1.orthodb.org/?query=10454at3193	Elongation factor EFG, domain V-like
10535at3193	Missing
